gameid,qtr,min,sec,off,def,down,togo,ydline,description,offscore,defscore,season,,,
20120905_DAL@NYG,4,15,0,NYG,DAL,2,5,77,PASS,10,17,2012,,,
20120905_DAL@NYG,4,12,14,DAL,NYG,2,5,77,PENALTY,17,10,2012,,,
20120905_DAL@NYG,4,14,55,NYG,DAL,3,5,77,PASS,10,17,2012,,,
20120905_DAL@NYG,2,33,34,DAL,NYG,1,15,78,PASS,0,3,2012,,,
20120905_DAL@NYG,2,38,33,DAL,NYG,2,8,78,PASS,0,3,2012,,,
20120905_DAL@NYG,4,5,51,NYG,DAL,1,10,79,PASS,10,24,2012,,,
20120905_DAL@NYG,1,59,5,NYG,DAL,3,5,79,PASS,0,0,2012,,,
20120905_DAL@NYG,1,58,58,NYG,DAL,4,5,79,PUNT,0,0,2012,,,
20120905_DAL@NYG,2,43,27,DAL,NYG,1,10,80,PASS,0,0,2012,,,
20120905_DAL@NYG,2,39,5,DAL,NYG,1,10,80,RUN,0,3,2012,,,
20120905_DAL@NYG,3,30,0,DAL,NYG,1,10,80,PASS,7,3,2012,,,
20120905_DAL@NYG,3,20,4,DAL,NYG,1,10,80,PASS,14,10,2012,,,
20120905_DAL@NYG,1,57,27,DAL,NYG,3,15,81,PASS,0,0,2012,,,
20120905_DAL@NYG,1,57,21,DAL,NYG,4,15,81,PUNT,0,0,2012,,,
20120905_DAL@NYG,3,15,34,NYG,DAL,1,10,82,RUN,10,17,2012,,,
20120905_DAL@NYG,4,13,3,DAL,NYG,1,10,82,RUN,17,10,2012,,,
20120905_DAL@NYG,4,12,0,DAL,NYG,2,10,82,PASS,17,10,2012,,,
20120905_DAL@NYG,1,55,50,NYG,DAL,3,5,82,PASS,0,0,2012,,,
20120905_DAL@NYG,2,33,50,NYG,DAL,3,8,82,PASS,3,0,2012,,,
20120905_DAL@NYG,2,33,42,NYG,DAL,4,8,82,PUNT,3,0,2012,,,
20120905_DAL@NYG,1,59,56,NYG,DAL,1,10,84,PASS,0,0,2012,,,
20120905_DAL@NYG,2,35,18,NYG,DAL,1,10,84,RUN,3,0,2012,,,
20120905_DAL@NYG,1,59,49,NYG,DAL,2,10,84,PASS,0,0,2012,,,
20120905_DAL@NYG,2,34,37,NYG,DAL,2,10,84,RUN,3,0,2012,,,
20120905_DAL@NYG,1,56,31,NYG,DAL,2,8,85,RUN,0,0,2012,,,
20120905_DAL@NYG,1,57,9,NYG,DAL,1,10,87,RUN,0,0,2012,,,
20120905_DAL@NYG,3,25,19,NYG,DAL,1,10,89,PASS,3,14,2012,,,
20120909_ATL@KC,2,31,14,ATL,KC,1,3,3,PASS,17,17,2012,,,
20120909_ATL@KC,2,30,17,ATL,KC,3,3,3,PASS,17,17,2012,,,
20120909_ATL@KC,2,30,13,ATL,KC,4,3,3,FIELD GOAL,17,17,2012,,,
20120909_ATL@KC,4,0,9,KC,ATL,1,4,4,RUN,17,40,2012,,,
20120909_ATL@KC,2,33,44,KC,ATL,2,5,5,RUN,10,17,2012,,,
20120909_ATL@KC,3,20,5,ATL,KC,2,5,5,PASS,20,17,2012,,,
20120909_ATL@KC,3,20,0,ATL,KC,3,5,5,RUN,20,17,2012,,,
20120909_ATL@KC,3,19,2,ATL,KC,1,7,7,PASS,27,17,2012,,,
20120909_ATL@KC,2,34,25,KC,ATL,1,8,8,RUN,10,17,2012,,,
20120909_ATL@KC,3,20,44,ATL,KC,1,8,8,RUN,20,17,2012,,,
20120909_ATL@KC,1,53,56,ATL,KC,3,2,8,PASS,0,0,2012,,,
20120909_ATL@KC,2,35,2,KC,ATL,2,1,10,RUN,10,17,2012,,,
20120909_ATL@KC,2,30,53,ATL,KC,2,10,10,PASS,17,17,2012,,,
